Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1873.144.peg.1742	CDS	PH63_1	1844383	1843526	-1	-	858	Spermidine synthase-like protein	- none -	 	 
fig|1873.144.peg.1743	CDS	PH63_1	1845342	1844383	-3	-	960	DNA double-strand break repair nuclease NurA	- none -	 	 
fig|1873.144.peg.1744	CDS	PH63_1	1847854	1845380	-1	-	2475	Exonuclease SbcC	DNA repair, bacterial; <br>Rad50-Mre11 DNA repair cluster	 	 
fig|1873.144.peg.1745	CDS	PH63_1	1849002	1847854	-3	-	1149	Exonuclease SbcD	DNA repair, bacterial; <br>Rad50-Mre11 DNA repair cluster	 	 
fig|1873.144.peg.1746	CDS	PH63_1	1850823	1849069	-3	-	1755	Uncharacterized protein aq_1682	- none -	 	 
fig|1873.144.peg.1747	CDS	PH63_1	1851714	1850968	-3	-	747	2,5-diamino-6-ribosylamino-pyrimidinone 5-phosphate reductase (EC 1.1.1.302) homolog	- none -	 	 
fig|1873.144.peg.1748	CDS	PH63_1	1851865	1852410	1	+	546	ORF encoded in ISPre3	- none -	 	 
fig|1873.144.peg.1749	CDS	PH63_1	1852786	1854078	1	+	1293	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)	- none -	 	 
fig|1873.144.peg.1750	CDS	PH63_1	1854235	1855206	1	+	972	ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)	- none -	 	 
fig|1873.144.peg.1751	CDS	PH63_1	1855218	1856060	3	+	843	ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)	- none -	 	 
fig|1873.144.peg.1752	CDS	PH63_1	1856057	1857490	2	+	1434	beta-glucosidase (EC 3.2.1.21) @ beta-D-fucosidase (EC 3.2.1.38)	- none -	 	 
fig|1873.144.peg.1753	CDS	PH63_1	1857577	1858623	1	+	1047	Transcriptional regulator, LacI family	- none -	 	 
fig|1873.144.peg.1754	CDS	PH63_1	1860064	1858850	-1	-	1215	Acyl-CoA dehydrogenase	- none -	 	 
fig|1873.144.peg.1755	CDS	PH63_1	1861179	1860064	-3	-	1116	acyl-CoA dehydrogenase, putative phosphotransferase	- none -	 	 
fig|1873.144.peg.1756	CDS	PH63_1	1861304	1862008	2	+	705	FIG00814377: hypothetical protein	- none -	 	 
fig|1873.144.peg.1757	CDS	PH63_1	1862133	1863194	3	+	1062	FIG00816609: hypothetical protein	- none -	 	 
fig|1873.144.peg.1758	CDS	PH63_1	1864782	1863217	-3	-	1566	Aldehyde dehydrogenase B (EC 1.2.1.22)	Glycerolipid and Glycerophospholipid Metabolism in Bacteria; <br>Methylglyoxal Metabolism	 	 
fig|1873.144.peg.1759	CDS	PH63_1	1865226	1868150	3	+	2925	Endo-1,4-beta-xylanase (EC 3.2.1.8)	- none -	 	 
fig|1873.144.peg.1760	CDS	PH63_1	1868405	1868241	-2	-	165	hypothetical protein	- none -	 	 
fig|1873.144.peg.1761	CDS	PH63_1	1868415	1868939	3	+	525	hypothetical protein	- none -	 	 
fig|1873.144.peg.1762	CDS	PH63_1	1869527	1869021	-2	-	507	Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.128)	- none -	 	 
fig|1873.144.peg.1763	CDS	PH63_1	1869765	1869532	-3	-	234	hypothetical protein	- none -	 	 
fig|1873.144.peg.1764	CDS	PH63_1	1870757	1869762	-2	-	996	Biotin synthase (EC 2.8.1.6)	Biotin biosynthesis; <br>Biotin biosynthesis Experimental	 	 
fig|1873.144.peg.1765	CDS	PH63_1	1870908	1872050	3	+	1143	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	Biotin biosynthesis; <br>Biotin biosynthesis Experimental	 	 
fig|1873.144.peg.1766	CDS	PH63_1	1872166	1872912	1	+	747	Dethiobiotin synthase BioD (EC 6.3.3.3)	- none -	 	 
fig|1873.144.peg.1767	CDS	PH63_1	1872949	1874697	1	+	1749	hypothetical protein	- none -	 	 
fig|1873.144.peg.1768	CDS	PH63_1	1874694	1875371	3	+	678	Two-component transcriptional response regulator, LuxR family	- none -	 	 
fig|1873.144.peg.1769	CDS	PH63_1	1876161	1875409	-3	-	753	Efflux ABC transporter, permease protein	- none -	 	 
fig|1873.144.peg.1770	CDS	PH63_1	1877090	1876158	-2	-	933	Efflux ABC transporter, ATP-binding protein	- none -	 	 
fig|1873.144.peg.1771	CDS	PH63_1	1878620	1877457	-2	-	1164	Putative cytochrome P450 hydroxylase	- none -	 	 
fig|1873.144.peg.1772	CDS	PH63_1	1879298	1878630	-2	-	669	Mlr4229 protein	- none -	 	 
fig|1873.144.peg.1773	CDS	PH63_1	1879527	1880405	3	+	879	FIG00816276: hypothetical protein	- none -	 	 
fig|1873.144.peg.1774	CDS	PH63_1	1883415	1880485	-3	-	2931	hypothetical protein	- none -	 	 
fig|1873.144.peg.1775	CDS	PH63_1	1883662	1884840	1	+	1179	Alkane-1 monooxygenase (EC 1.14.15.3)	- none -	 	 
fig|1873.144.peg.1776	CDS	PH63_1	1885516	1884941	-1	-	576	hypothetical protein	- none -	 	 
fig|1873.144.peg.1777	CDS	PH63_1	1886352	1885732	-3	-	621	Transcriptional regulator, AcrR family	- none -	 	 
fig|1873.144.peg.1778	CDS	PH63_1	1888975	1887329	-1	-	1647	hypothetical protein	- none -	 	 
fig|1873.144.peg.1779	CDS	PH63_1	1889575	1889261	-1	-	315	hypothetical protein	- none -	 	 
fig|1873.144.peg.1780	CDS	PH63_1	1890195	1890752	3	+	558	Dihydrofolate reductase (EC 1.5.1.3)	5-FCL-like protein; <br>Folate Biosynthesis	 	 
fig|1873.144.peg.1781	CDS	PH63_1	1890860	1891849	2	+	990	Possible isoflavone reductase (EC 1.3.1.45)	- none -	 	 
fig|1873.144.peg.1782	CDS	PH63_1	1892859	1891885	-3	-	975	hypothetical protein	- none -	 	 
fig|1873.144.peg.1783	CDS	PH63_1	1892898	1893077	3	+	180	hypothetical protein	- none -	 	 
fig|1873.144.peg.1784	CDS	PH63_1	1893087	1893725	3	+	639	Two-component transcriptional response regulator, LuxR family	- none -	 	 
fig|1873.144.peg.1785	CDS	PH63_1	1895470	1893737	-1	-	1734	Histidine kinase response regulator	- none -	 	 
fig|1873.144.peg.1786	CDS	PH63_1	1896522	1895512	-3	-	1011	Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2	- none -	 	 
fig|1873.144.peg.1787	CDS	PH63_1	1897562	1896690	-2	-	873	Universal stress protein family	- none -	 	 
fig|1873.144.peg.1788	CDS	PH63_1	1900185	1897783	-3	-	2403	Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9) @ Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)	Fermentations: Lactate; <br>Fermentations: Lactate; <br>Pentose phosphate pathway; <br>Pentose phosphate pathway	 	 
fig|1873.144.peg.1789	CDS	PH63_1	1901139	1900282	-3	-	858	Universal stress protein family	- none -	 	 
fig|1873.144.peg.1790	CDS	PH63_1	1902240	1902836	3	+	597	putative secreted protein	- none -	 	 
fig|1873.144.peg.1791	CDS	PH63_1	1903675	1902911	-1	-	765	hypothetical protein	- none -	 	 
fig|1873.144.peg.1792	CDS	PH63_1	1904207	1903773	-2	-	435	conserved hypothetical protein SCC24.31c	- none -	 	 
fig|1873.144.peg.1793	CDS	PH63_1	1904289	1904525	3	+	237	hypothetical protein	- none -	 	 
fig|1873.144.peg.1794	CDS	PH63_1	1904525	1905103	2	+	579	ATP-dependent Clp protease, ATP-binding subunit ClpC	Proteolysis in bacteria, ATP-dependent	 	 
fig|1873.144.peg.1795	CDS	PH63_1	1905377	1906324	2	+	948	FIG00815744: hypothetical protein	- none -	 	 
fig|1873.144.peg.1796	CDS	PH63_1	1906317	1907318	3	+	1002	Ribonuclease BN	- none -	 	 
fig|1873.144.peg.1797	CDS	PH63_1	1907398	1908888	1	+	1491	putative membrane-associated phospholipid phosphatase, PAP2 superfamily	- none -	 	 
fig|1873.144.peg.1798	CDS	PH63_1	1908897	1909700	3	+	804	hypothetical protein	- none -	 	 
fig|1873.144.peg.1799	CDS	PH63_1	1909908	1910648	3	+	741	hypothetical protein	- none -	 	 
fig|1873.144.peg.1800	CDS	PH63_1	1910800	1910681	-1	-	120	hypothetical protein	- none -	 	 
fig|1873.144.peg.1801	CDS	PH63_1	1911632	1910805	-2	-	828	Hydrolase, alpha/beta fold family	- none -	 	 
fig|1873.144.peg.1802	CDS	PH63_1	1912621	1911659	-1	-	963	Glucose-6-phosphate dehydrogenase (coenzyme F420) (EC 1.1.98.2)	- none -	 	 
fig|1873.144.peg.1803	CDS	PH63_1	1912860	1913900	3	+	1041	Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78)	- none -	 	 
fig|1873.144.peg.1804	CDS	PH63_1	1913897	1914172	2	+	276	Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78)	- none -	 	 
fig|1873.144.peg.1805	CDS	PH63_1	1915657	1914458	-1	-	1200	RNA polymerase ECF-type sigma factor	- none -	 	 
fig|1873.144.peg.1806	CDS	PH63_1	1916125	1915724	-1	-	402	DGPFAETKE family protein	- none -	 	 
fig|1873.144.peg.1807	CDS	PH63_1	1918381	1916240	-1	-	2142	alpha-galactosidase (EC 3.2.1.22)	- none -	 	 
fig|1873.144.peg.1808	CDS	PH63_1	1919289	1918378	-3	-	912	ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)	- none -	 	 
fig|1873.144.peg.1809	CDS	PH63_1	1920242	1919286	-2	-	957	ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)	- none -	 	 
fig|1873.144.peg.1810	CDS	PH63_1	1921589	1920264	-2	-	1326	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)	- none -	 	 
fig|1873.144.peg.1811	CDS	PH63_1	1921884	1923866	3	+	1983	beta-galactosidase (EC 3.2.1.23)	- none -	 	 
fig|1873.144.peg.1812	CDS	PH63_1	1923889	1924683	1	+	795	Transcriptional regulator, DeoR family	- none -	 	 
fig|1873.144.peg.1813	CDS	PH63_1	1925613	1924678	-3	-	936	hypothetical protein	- none -	 	 
fig|1873.144.peg.1814	CDS	PH63_1	1925648	1926856	2	+	1209	hypothetical protein	- none -	 	 
fig|1873.144.peg.1815	CDS	PH63_1	1927064	1928023	2	+	960	Sporulation control protein Spo0M	- none -	 	 
fig|1873.144.peg.1816	CDS	PH63_1	1928483	1928094	-2	-	390	hypothetical protein	- none -	 	 
fig|1873.144.peg.1817	CDS	PH63_1	1928829	1929236	3	+	408	hypothetical protein	- none -	 	 
fig|1873.144.peg.1818	CDS	PH63_1	1931842	1929548	-1	-	2295	ATP-dependent DNA helicase	- none -	 	 
fig|1873.144.peg.1819	CDS	PH63_1	1933137	1932025	-3	-	1113	hypothetical protein	- none -	 	 
fig|1873.144.peg.1820	CDS	PH63_1	1933232	1933888	2	+	657	Two-component transcriptional response regulator, LuxR family	- none -	 	 
fig|1873.144.peg.1821	CDS	PH63_1	1933885	1935426	1	+	1542	Sensor protein	- none -	 	 
fig|1873.144.peg.1822	CDS	PH63_1	1937021	1935459	-2	-	1563	hypothetical protein	- none -	 	 
fig|1873.144.peg.1823	CDS	PH63_1	1937540	1937079	-2	-	462	Transcriptional regulator, MarR family	- none -	 	 
fig|1873.144.peg.1824	CDS	PH63_1	1937591	1938112	2	+	522	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	Biphenyl Degradation	 	 
fig|1873.144.peg.1825	CDS	PH63_1	1938238	1939128	1	+	891	hypothetical protein	- none -	 	 
fig|1873.144.peg.1826	CDS	PH63_1	1939365	1939186	-3	-	180	FIG00814228: hypothetical protein	- none -	 	 
fig|1873.144.peg.1827	CDS	PH63_1	1939705	1940277	1	+	573	flavin-dependent reductase	- none -	 	 
fig|1873.144.peg.1828	CDS	PH63_1	1940917	1940405	-1	-	513	GCN5-related N-acetyltransferase	- none -	 	 
fig|1873.144.peg.1829	CDS	PH63_1	1941372	1940917	-3	-	456	Predicted transcriptional regulator of sulfate adenylyltransferase, Rrf2 family	Rrf2 family transcriptional regulators	 	 
fig|1873.144.peg.1830	CDS	PH63_1	1942282	1941380	-1	-	903	Transcriptional regulator, AraC family	- none -	 	 
fig|1873.144.peg.1831	CDS	PH63_1	1942554	1943330	3	+	777	Oxidoreductase, short-chain dehydrogenase/reductase family	- none -	 	 
fig|1873.144.peg.1832	CDS	PH63_1	1943864	1943433	-2	-	432	Sporulation-specific cell division protein SsgB	- none -	 	 
fig|1873.144.peg.1833	CDS	PH63_1	1944144	1944713	3	+	570	hypothetical protein	- none -	 	 
fig|1873.144.peg.1834	CDS	PH63_1	1946639	1946917	2	+	279	hypothetical protein	- none -	 	 
fig|1873.144.peg.1835	CDS	PH63_1	1947503	1946925	-2	-	579	Metal-dependent phosphohydrolase	- none -	 	 
fig|1873.144.peg.1836	CDS	PH63_1	1948588	1947500	-1	-	1089	hypothetical protein	- none -	 	 
fig|1873.144.peg.1837	CDS	PH63_1	1948832	1949038	2	+	207	hypothetical protein	- none -	 	 
fig|1873.144.peg.1838	CDS	PH63_1	1949035	1949430	1	+	396	hypothetical protein	- none -	 	 
fig|1873.144.peg.1839	CDS	PH63_1	1949427	1949600	3	+	174	FIG00814250: hypothetical protein	- none -	 	 
fig|1873.144.peg.1840	CDS	PH63_1	1950164	1949850	-2	-	315	hypothetical protein	- none -	 	 
fig|1873.144.peg.1841	CDS	PH63_1	1950352	1951308	1	+	957	Uncharacterized membrane protein YoaT	- none -	 	 
fig|1873.144.peg.1842	CDS	PH63_1	1951951	1951601	-1	-	351	hypothetical protein	- none -	 	 
fig|1873.144.peg.1843	CDS	PH63_1	1953009	1952131	-3	-	879	Hydrolase	- none -	 	 
fig|1873.144.peg.1844	CDS	PH63_1	1953118	1954959	1	+	1842	hypothetical protein	- none -	 	 
fig|1873.144.peg.1845	CDS	PH63_1	1954956	1955087	3	+	132	FIG00816073: hypothetical protein	- none -	 	 
fig|1873.144.peg.1846	CDS	PH63_1	1955575	1956318	1	+	744	Oxidoreductase, short-chain dehydrogenase/reductase family	- none -	 	 
fig|1873.144.peg.1847	CDS	PH63_1	1956520	1956669	1	+	150	hypothetical protein	- none -	 	 
fig|1873.144.peg.1848	CDS	PH63_1	1957017	1956730	-3	-	288	hypothetical protein	- none -	 	 
fig|1873.144.peg.1849	CDS	PH63_1	1958318	1957278	-2	-	1041	hypothetical protein	- none -	 	 
fig|1873.144.peg.1850	CDS	PH63_1	1958441	1959046	2	+	606	FIG00815799: hypothetical protein	- none -	 	 
fig|1873.144.peg.1851	CDS	PH63_1	1959405	1960727	3	+	1323	Putative hydroxylase	- none -	 	 
fig|1873.144.peg.1852	CDS	PH63_1	1960727	1962304	2	+	1578	Palmitoyltransferase-like protein	- none -	 	 
fig|1873.144.peg.1853	CDS	PH63_1	1962450	1963112	3	+	663	hypothetical protein	- none -	 	 
fig|1873.144.peg.1854	CDS	PH63_1	1966529	1963230	-2	-	3300	hypothetical protein	- none -	 	 
fig|1873.144.peg.1855	CDS	PH63_1	1966567	1966956	1	+	390	hypothetical protein	- none -	 	 
fig|1873.144.peg.1856	CDS	PH63_1	1966958	1967995	2	+	1038	hypothetical protein	- none -	 	 
fig|1873.144.peg.1857	CDS	PH63_1	1968013	1968582	1	+	570	hypothetical protein	- none -	 	 
fig|1873.144.peg.1858	CDS	PH63_1	1968650	1968952	2	+	303	hypothetical protein	- none -	 	 
fig|1873.144.peg.1859	CDS	PH63_1	1969087	1969827	1	+	741	hypothetical protein	- none -	 	 
fig|1873.144.peg.1860	CDS	PH63_1	1970589	1970008	-3	-	582	Transcriptional regulator, AcrR family	- none -	 	 
fig|1873.144.peg.1861	CDS	PH63_1	1970697	1972244	3	+	1548	Uncharacterized MFS-type transporter	- none -	 	 
fig|1873.144.peg.1862	CDS	PH63_1	1972284	1972700	3	+	417	hypothetical protein	- none -	 	 
fig|1873.144.peg.1863	CDS	PH63_1	1972902	1973828	3	+	927	hypothetical protein	- none -	 	 
fig|1873.144.peg.1864	CDS	PH63_1	1974232	1974672	1	+	441	hypothetical protein	- none -	 	 
fig|1873.144.peg.1865	CDS	PH63_1	1974918	1975493	3	+	576	Transcriptional regulator, AcrR family	- none -	 	 
fig|1873.144.peg.1866	CDS	PH63_1	1975490	1977118	2	+	1629	Acyl-CoA dehydrogenase	- none -	 	 
fig|1873.144.peg.1867	CDS	PH63_1	1977336	1978919	3	+	1584	Multidrug resistance protein ErmB	- none -	 	 
fig|1873.144.peg.1868	CDS	PH63_1	1980663	1979059	-3	-	1605	hypothetical protein	- none -	 	 
fig|1873.144.peg.1869	CDS	PH63_1	1981839	1980781	-3	-	1059	hypothetical protein	- none -	 	 
fig|1873.144.peg.1870	CDS	PH63_1	1984077	1982008	-3	-	2070	Efflux ABC transporter, permease/ATP-binding protein	- none -	 	 
fig|1873.144.peg.1871	CDS	PH63_1	1985107	1984208	-1	-	900	COG0385 sodium-dependent transporter	- none -	 	 
fig|1873.144.peg.1872	CDS	PH63_1	1986598	1985336	-1	-	1263	putative secreted hydrolase	- none -	 	 
fig|1873.144.peg.1873	CDS	PH63_1	1988088	1986691	-3	-	1398	Streptogrisin-C precursor (EC 3.4.21.-) (Serine protease C) (SGPC)	- none -	 	 
fig|1873.144.peg.1874	CDS	PH63_1	1989265	1988489	-1	-	777	Transcriptional regulator, IclR family	Homogentisate pathway of aromatic compound degradation	 	 
fig|1873.144.peg.1875	CDS	PH63_1	1989320	1989985	2	+	666	4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) @ 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	D-Galacturonate and D-Glucuronate Utilization	 	 
fig|1873.144.peg.1876	CDS	PH63_1	1989989	1991083	2	+	1095	2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	- none -	 	 
fig|1873.144.peg.1877	CDS	PH63_1	1992033	1991233	-3	-	801	Enoyl-CoA hydratase (EC 4.2.1.17)	Acetyl-CoA fermentation to Butyrate; <br>Butanol Biosynthesis; <br>Butyrate metabolism cluster; <br>Fatty acid metabolism cluster; <br>Isoleucine degradation; <br>Polyhydroxybutyrate metabolism; <br>Valine degradation	 	 
fig|1873.144.peg.1878	CDS	PH63_1	1992247	1993278	1	+	1032	MBL-fold metallo-hydrolase superfamily	- none -	 	 
fig|1873.144.peg.1879	CDS	PH63_1	1993352	1993996	2	+	645	hypothetical protein	- none -	 	 
fig|1873.144.peg.1880	CDS	PH63_1	1995296	1994148	-2	-	1149	Extracellular ribonuclease precursor (EC 3.1.-.-)	- none -	 	 
fig|1873.144.peg.1881	CDS	PH63_1	1996102	1995443	-1	-	660	Two-component transcriptional response regulator, LuxR family	- none -	 	 
fig|1873.144.peg.1882	CDS	PH63_1	1997388	1996099	-3	-	1290	Two-component system sensor histidine kinase	- none -	 	 
fig|1873.144.peg.1883	CDS	PH63_1	1997519	1998634	2	+	1116	Maebl	- none -	 	 
fig|1873.144.peg.1884	CDS	PH63_1	1999457	1998774	-2	-	684	hypothetical protein	- none -	 	 
fig|1873.144.peg.1885	CDS	PH63_1	1999642	1999454	-1	-	189	hypothetical protein	- none -	 	 
fig|1873.144.peg.1886	CDS	PH63_1	2000267	1999752	-2	-	516	FIG00817017: hypothetical protein	- none -	 	 
fig|1873.144.peg.1887	CDS	PH63_1	2001338	2000292	-2	-	1047	Alcohol dehydrogenase (EC 1.1.1.1)	5-FCL-like protein; <br>Butanol Biosynthesis; <br>Fermentations: Mixed acid; <br>Glycerolipid and Glycerophospholipid Metabolism in Bacteria	 	 
fig|1873.144.peg.1888	CDS	PH63_1	2002151	2001459	-2	-	693	hypothetical protein	- none -	 	 
fig|1873.144.peg.1889	CDS	PH63_1	2003155	2002250	-1	-	906	hypothetical protein	- none -	 	 
fig|1873.144.peg.1890	CDS	PH63_1	2003373	2004284	3	+	912	FIG003003: hypothetical protein	- none -	 	 
fig|1873.144.peg.1891	CDS	PH63_1	2004378	2004569	3	+	192	FIG00814818: hypothetical protein	- none -	 	 
fig|1873.144.peg.1892	CDS	PH63_1	2004594	2005157	3	+	564	hypothetical protein	- none -	 	 
fig|1873.144.peg.1893	CDS	PH63_1	2005520	2005215	-2	-	306	FIG00816362: hypothetical protein	- none -	 	 
fig|1873.144.peg.1894	CDS	PH63_1	2006378	2005743	-2	-	636	hypothetical protein	- none -	 	 
fig|1873.144.peg.1895	CDS	PH63_1	2006583	2006753	3	+	171	hypothetical protein	- none -	 	 
fig|1873.144.peg.1896	CDS	PH63_1	2007745	2006882	-1	-	864	Hydrolase, alpha/beta fold family	- none -	 	 
fig|1873.144.peg.1897	CDS	PH63_1	2009060	2007843	-2	-	1218	Glycosyl transferase, group 1	- none -	 	 
fig|1873.144.peg.1898	CDS	PH63_1	2009395	2010027	1	+	633	Nitrite-sensitive transcriptional repressor NsrR	Nitrosative stress; <br>Oxidative stress; <br>Rrf2 family transcriptional regulators	 	 
fig|1873.144.peg.1899	CDS	PH63_1	2010037	2010678	1	+	642	SAM-dependent methyltransferase	- none -	 	 
fig|1873.144.peg.1900	CDS	PH63_1	2012163	2010904	-3	-	1260	hypothetical protein	- none -	 	 
fig|1873.144.peg.1901	CDS	PH63_1	2012638	2012510	-1	-	129	hypothetical protein	- none -	 	 
fig|1873.144.peg.1902	CDS	PH63_1	2012669	2014726	2	+	2058	DNA topoisomerase IV subunit B (EC 5.99.1.3)	- none -	 	 
fig|1873.144.peg.1903	CDS	PH63_1	2014756	2017245	1	+	2490	DNA topoisomerase IV subunit A (EC 5.99.1.3)	- none -	 	 
fig|1873.144.peg.1904	CDS	PH63_1	2018897	2017467	-2	-	1431	Pyrimidine permease	- none -	 	 
fig|1873.144.peg.1905	CDS	PH63_1	2019760	2019125	-1	-	636	Alkylated DNA repair protein AlkB	DNA repair, bacterial	 	 
fig|1873.144.peg.1906	CDS	PH63_1	2021138	2019813	-2	-	1326	hypothetical protein	- none -	 	 
fig|1873.144.peg.1907	CDS	PH63_1	2021450	2022694	2	+	1245	Acyltransferase 3	- none -	 	 
fig|1873.144.peg.1908	CDS	PH63_1	2023297	2023157	-1	-	141	hypothetical protein	- none -	 	 
fig|1873.144.peg.1909	CDS	PH63_1	2023432	2024265	1	+	834	Type II/IV secretion system secretin RcpA/CpaC, associated with Flp pilus assembly	- none -	 	 
fig|1873.144.peg.1910	CDS	PH63_1	2024371	2025114	1	+	744	Hydrolase, alpha/beta fold family	- none -	 	 
fig|1873.144.peg.1911	CDS	PH63_1	2026860	2025136	-3	-	1725	Integral membrane protein	- none -	 	 
fig|1873.144.peg.1912	CDS	PH63_1	2028399	2026897	-3	-	1503	Sugar-phosphate cytidylyltransferase / Short-chain dehydrogenase	- none -	 	 
fig|1873.144.peg.1913	CDS	PH63_1	2029359	2028544	-3	-	816	Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	Rhamnose containing glycans	 	 
fig|1873.144.peg.1914	CDS	PH63_1	2030248	2029352	-1	-	897	O-antigen export system, permease protein	- none -	 	 
fig|1873.144.peg.1915	CDS	PH63_1	2030421	2031080	3	+	660	Transcriptional regulator, AcrR family	- none -	 	 
fig|1873.144.peg.1916	CDS	PH63_1	2031175	2032284	1	+	1110	Aminotransferase, DegT/DnrJ/EryC1/StrS family	- none -	 	 
fig|1873.144.peg.1917	CDS	PH63_1	2032281	2033318	3	+	1038	NAD-dependent dehydrogenase (EC 1.1.1.18)	- none -	 	 
fig|1873.144.peg.1918	CDS	PH63_1	2033402	2035966	2	+	2565	hypothetical aminotransferase, class-II	- none -	 	 
fig|1873.144.peg.1919	CDS	PH63_1	2037288	2036113	-3	-	1176	hypothetical protein	- none -	 	 
fig|1873.144.peg.1920	CDS	PH63_1	2037418	2039031	1	+	1614	Putative glycosyltransferase	- none -	 	 
fig|1873.144.peg.1921	CDS	PH63_1	2039135	2040946	2	+	1812	Putative glycosyltransferase	- none -	 	 
fig|1873.144.peg.1922	CDS	PH63_1	2042228	2040963	-2	-	1266	hypothetical protein	- none -	 	 
fig|1873.144.peg.1923	CDS	PH63_1	2042474	2044087	2	+	1614	Putative glycosyltransferase	- none -	 	 
fig|1873.144.peg.1924	CDS	PH63_1	2044084	2045655	1	+	1572	Glycosyl transferase	- none -	 	 
fig|1873.144.peg.1925	CDS	PH63_1	2045660	2046943	2	+	1284	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase	- none -	 	 
fig|1873.144.peg.1926	CDS	PH63_1	2047116	2048867	3	+	1752	Integral membrane protein	- none -	 	 
fig|1873.144.peg.1927	CDS	PH63_1	2049422	2048880	-2	-	543	UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronic acid acetyltransferase (EC 2.3.1.201)	- none -	 	 
fig|1873.144.peg.1928	CDS	PH63_1	2049920	2049582	-2	-	339	FIG005495: hypothetical protein	- none -	 	 
fig|1873.144.peg.1929	CDS	PH63_1	2050035	2050346	3	+	312	hypothetical protein	- none -	 	 
fig|1873.144.peg.1930	CDS	PH63_1	2050477	2051133	1	+	657	Two-component transcriptional response regulator, LuxR family	- none -	 	 
fig|1873.144.peg.1931	CDS	PH63_1	2051143	2052708	1	+	1566	Two-component system sensor histidine kinase	- none -	 	 
fig|1873.144.peg.1932	CDS	PH63_1	2053893	2052928	-3	-	966	TRAP transporter solute receptor, TAXI family precursor	TRAP Transporter unknown substrate 9	 	 
fig|1873.144.peg.1933	CDS	PH63_1	2054069	2053950	-2	-	120	hypothetical protein	- none -	 	 
fig|1873.144.peg.1934	CDS	PH63_1	2054751	2054077	-3	-	675	hypothetical protein	- none -	 	 
fig|1873.144.peg.1935	CDS	PH63_1	2055651	2054854	-3	-	798	UPF0246 protein YaaA	- none -	 	 
fig|1873.144.peg.1936	CDS	PH63_1	2057332	2055713	-1	-	1620	Membrane protein	- none -	 	 
fig|1873.144.peg.1937	CDS	PH63_1	2057507	2058547	2	+	1041	hypothetical protein	- none -	 	 
fig|1873.144.peg.1938	CDS	PH63_1	2059707	2058616	-3	-	1092	hypothetical protein	- none -	 	 
fig|1873.144.peg.1939	CDS	PH63_1	2059857	2059717	-3	-	141	hypothetical protein	- none -	 	 
fig|1873.144.peg.1940	CDS	PH63_1	2061149	2059887	-2	-	1263	hypothetical protein	- none -	 	 
fig|1873.144.peg.1941	CDS	PH63_1	2061900	2061247	-3	-	654	hypothetical protein	- none -	 	 
fig|1873.144.peg.1942	CDS	PH63_1	2062157	2061972	-2	-	186	Putative esterase	- none -	 	 
fig|1873.144.peg.1943	CDS	PH63_1	2062438	2062950	1	+	513	Acetyltransferase	- none -	 	 
fig|1873.144.peg.1944	CDS	PH63_1	2063148	2065172	3	+	2025	COG1649 predicted glycoside hydrolase	- none -	 	 
fig|1873.144.peg.1945	CDS	PH63_1	2067290	2065188	-2	-	2103	1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	Glycogen metabolism; <br>Trehalose Biosynthesis	 	 
fig|1873.144.peg.1946	CDS	PH63_1	2069377	2067278	-1	-	2100	Putative glucanase glgE (EC 3.2.1.-)	Trehalose Biosynthesis	 	 
fig|1873.144.peg.1947	CDS	PH63_1	2070830	2069622	-2	-	1209	Predicted glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21), Actinobacterial type	Glycogen metabolism	 	 
fig|1873.144.peg.1948	CDS	PH63_1	2070926	2072158	2	+	1233	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	Glycogen metabolism	 	 
fig|1873.144.peg.1949	CDS	PH63_1	2072155	2073801	1	+	1647	Phosphoglucomutase (EC 5.4.2.2)	- none -	 	 
