Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1873.143.peg.1972	CDS	O3_1	2005658	2005825	2	+	168	hypothetical protein	- none -	 	 
fig|1873.143.peg.1973	CDS	O3_1	2005836	2006627	3	+	792	Endonuclease IV (EC 3.1.21.2)	DNA repair, bacterial	 	 
fig|1873.143.peg.1974	CDS	O3_1	2006624	2008897	2	+	2274	hypothetical protein	- none -	 	 
fig|1873.143.peg.1975	CDS	O3_1	2011085	2008911	-2	-	2175	hypothetical protein	- none -	 	 
fig|1873.143.peg.1976	CDS	O3_1	2011750	2011079	-1	-	672	putative ABC transporter ATP-binding protein	- none -	 	 
fig|1873.143.peg.1977	CDS	O3_1	2012171	2011827	-2	-	345	hypothetical protein	- none -	 	 
fig|1873.143.peg.1978	CDS	O3_1	2013819	2012326	-3	-	1494	Putative transmembrane protein	- none -	 	 
fig|1873.143.peg.1979	CDS	O3_1	2016750	2013940	-3	-	2811	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	- none -	 	 
fig|1873.143.peg.1980	CDS	O3_1	2016948	2016754	-3	-	195	hypothetical protein	- none -	 	 
fig|1873.143.peg.1981	CDS	O3_1	2017418	2016945	-2	-	474	hypothetical protein	- none -	 	 
fig|1873.143.peg.1982	CDS	O3_1	2017592	2018230	2	+	639	Transcriptional regulator, PadR family	CBSS-1352.1.peg.856	 	 
fig|1873.143.peg.1983	CDS	O3_1	2018254	2019333	1	+	1080	Inositol-1-phosphate synthase (EC 5.5.1.4)	- none -	 	 
fig|1873.143.peg.1984	CDS	O3_1	2019977	2019498	-2	-	480	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	DNA repair, bacterial	 	 
fig|1873.143.peg.1985	CDS	O3_1	2020134	2021246	3	+	1113	hypothetical protein	- none -	 	 
fig|1873.143.peg.1986	CDS	O3_1	2021277	2021798	3	+	522	Uncharacterized protein Sare_5090	- none -	 	 
fig|1873.143.peg.1987	CDS	O3_1	2021825	2023342	2	+	1518	Inner membrane protein YqiK	- none -	 	 
fig|1873.143.peg.1988	CDS	O3_1	2024868	2023411	-3	-	1458	CCA tRNA nucleotidyltransferase (EC 2.7.7.72)	- none -	 	 
fig|1873.143.peg.1989	CDS	O3_1	2024995	2026749	1	+	1755	Peptidoglycan lipid II flippase MurJ	- none -	 	 
fig|1873.143.peg.1990	CDS	O3_1	2027156	2026989	-2	-	168	hypothetical protein	- none -	 	 
fig|1873.143.peg.1991	CDS	O3_1	2027196	2028800	3	+	1605	Pseudokinase domain in MviN	- none -	 	 
fig|1873.143.peg.1992	CDS	O3_1	2028844	2029560	1	+	717	RNA polymerase ECF-type sigma factor	- none -	 	 
fig|1873.143.peg.1993	CDS	O3_1	2029557	2030537	3	+	981	FIG00822885: hypothetical protein	- none -	 	 
fig|1873.143.peg.1994	CDS	O3_1	2030719	2031672	1	+	954	Thioredoxin reductase (EC 1.8.1.9)	Thioredoxin-disulfide reductase; <br>pyrimidine conversions	 	 
fig|1873.143.peg.1995	CDS	O3_1	2031703	2032026	1	+	324	Thioredoxin	- none -	 	 
fig|1873.143.peg.1996	CDS	O3_1	2032177	2033343	1	+	1167	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	Murein Hydrolases; <br>Recycling of Peptidoglycan Amino Acids	 	 
fig|1873.143.peg.1997	CDS	O3_1	2034044	2033376	-2	-	669	FIG007808: N-acetyltransferase	- none -	 	 
fig|1873.143.peg.1998	CDS	O3_1	2034045	2034320	3	+	276	hypothetical protein	- none -	 	 
fig|1873.143.peg.1999	CDS	O3_1	2034334	2035647	1	+	1314	Aspartate aminotransferase (AspB-14) (EC 2.6.1.1)	- none -	 	 
fig|1873.143.peg.2000	CDS	O3_1	2035685	2036659	2	+	975	D-alanine--D-alanine ligase (EC 6.3.2.4)	- none -	 	 
fig|1873.143.peg.2001	CDS	O3_1	2037949	2036978	-1	-	972	FIG00816463: hypothetical protein	- none -	 	 
fig|1873.143.peg.2002	CDS	O3_1	2040470	2039460	-2	-	1011	Chromosome (plasmid) partitioning protein ParB	- none -	 	 
fig|1873.143.peg.2003	CDS	O3_1	2041355	2040498	-2	-	858	Chromosome (plasmid) partitioning protein ParA	- none -	 	 
fig|1873.143.peg.2004	CDS	O3_1	2042934	2042092	-3	-	843	16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)	- none -	 	 
fig|1873.143.peg.2005	CDS	O3_1	2043568	2042939	-1	-	630	RNA-binding protein Jag	- none -	 	 
fig|1873.143.peg.2006	CDS	O3_1	2043641	2043784	2	+	144	hypothetical protein	- none -	 	 
fig|1873.143.peg.2007	CDS	O3_1	2044770	2043781	-3	-	990	Inner membrane protein translocase and chaperone YidC, short form OxaI-like	- none -	 	 
fig|1873.143.peg.2008	CDS	O3_1	2045060	2044767	-2	-	294	Membrane protein insertion efficiency factor YidD	- none -	 	 
fig|1873.143.peg.2009	CDS	O3_1	2045473	2045057	-1	-	417	Ribonuclease P protein component (EC 3.1.26.5)	tRNA processing	 	 
fig|1873.143.peg.2010	CDS	O3_1	2045647	2045510	-1	-	138	LSU ribosomal protein L34p	Ribosome LSU bacterial	 	 
fig|1873.143.peg.2011	CDS	O3_1	2046273	2046959	3	+	687	Chromosomal replication initiator protein DnaA	DNA replication cluster 1	 	 
fig|1873.143.peg.2012	CDS	O3_1	2047030	2048079	1	+	1050	Chromosomal replication initiator protein DnaA	DNA replication cluster 1	 	 
fig|1873.143.peg.2013	CDS	O3_1	2048841	2049974	3	+	1134	DNA polymerase III beta subunit (EC 2.7.7.7)	DNA replication cluster 1	 	 
fig|1873.143.peg.2014	CDS	O3_1	2050012	2050884	1	+	873	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	D-gluconate and ketogluconates metabolism; <br>Pentose phosphate pathway	 	 
fig|1873.143.peg.2015	CDS	O3_1	2050901	2052034	2	+	1134	DNA recombination and repair protein RecF	DNA repair, bacterial RecFOR pathway; <br>DNA replication cluster 1	 	 
fig|1873.143.peg.2016	CDS	O3_1	2052279	2052767	3	+	489	Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives	DNA replication cluster 1	 	 
fig|1873.143.peg.2017	CDS	O3_1	2053001	2052777	-2	-	225	FIG00815367: hypothetical protein	- none -	 	 
fig|1873.143.peg.2018	CDS	O3_1	2053120	2053656	1	+	537	Organic hydroperoxide resistance transcriptional regulator	CBSS-269482.1.peg.1294; <br>Oxidative stress	 	 
fig|1873.143.peg.2019	CDS	O3_1	2054195	2053641	-2	-	555	hypothetical protein	- none -	 	 
fig|1873.143.peg.2020	CDS	O3_1	2054626	2056665	1	+	2040	DNA gyrase subunit B (EC 5.99.1.3)	DNA gyrase subunits; <br>DNA replication cluster 1; <br>DNA topoisomerases, Type II, ATP-dependent; <br>Resistance to fluoroquinolones	 	 
fig|1873.143.peg.2021	CDS	O3_1	2056796	2059315	2	+	2520	DNA gyrase subunit A (EC 5.99.1.3)	DNA gyrase subunits; <br>DNA replication cluster 1; <br>DNA topoisomerases, Type II, ATP-dependent; <br>Resistance to fluoroquinolones	 	 
fig|1873.143.peg.2022	CDS	O3_1	2059320	2060213	3	+	894	putative membrane protein	- none -	 	 
fig|1873.143.peg.2023	CDS	O3_1	2060481	2060609	3	+	129	Uncharacterized membrane protein Ndas_5239	- none -	 	 
fig|1873.143.peg.2024	CDS	O3_1	2060914	2060744	-1	-	171	hypothetical protein	- none -	 	 
fig|1873.143.peg.2025	CDS	O3_1	2061114	2061698	3	+	585	hypothetical protein	- none -	 	 
fig|1873.143.peg.2026	CDS	O3_1	2063065	2061884	-1	-	1182	hypothetical protein	- none -	 	 
fig|1873.143.peg.2027	CDS	O3_1	2063298	2063173	-3	-	126	hypothetical protein	- none -	 	 
fig|1873.143.peg.2028	CDS	O3_1	2064081	2063362	-3	-	720	hypothetical protein	- none -	 	 
fig|1873.143.peg.2029	CDS	O3_1	2066968	2064416	-1	-	2553	hypothetical protein	- none -	 	 
fig|1873.143.peg.2030	CDS	O3_1	2067516	2067049	-3	-	468	hypothetical protein	- none -	 	 
fig|1873.143.peg.2031	CDS	O3_1	2068409	2067705	-2	-	705	hypothetical protein	- none -	 	 
fig|1873.143.peg.2032	CDS	O3_1	2069186	2068542	-2	-	645	Bifunctional deaminase-reductase domain protein	- none -	 	 
fig|1873.143.peg.2033	CDS	O3_1	2070853	2069582	-1	-	1272	hypothetical protein	- none -	 	 
fig|1873.143.peg.2034	CDS	O3_1	2071065	2070952	-3	-	114	hypothetical protein	- none -	 	 
fig|1873.143.peg.2035	CDS	O3_1	2071075	2071383	1	+	309	hypothetical protein	- none -	 	 
fig|1873.143.peg.2036	CDS	O3_1	2071477	2071896	1	+	420	CBS domain protein	- none -	 	 
fig|1873.143.peg.2037	CDS	O3_1	2072778	2071978	-3	-	801	hypothetical protein	- none -	 	 
fig|1873.143.peg.2038	CDS	O3_1	2077288	2072837	-1	-	4452	Probable cation-transporting ATPase I (EC 3.6.3.-)	- none -	 	 
fig|1873.143.peg.2039	CDS	O3_1	2077552	2078955	1	+	1404	Uncharacterized MFS-type transporter	- none -	 	 
fig|1873.143.peg.2040	CDS	O3_1	2079008	2079664	2	+	657	hypothetical protein	- none -	 	 
fig|1873.143.peg.2041	CDS	O3_1	2079752	2079946	2	+	195	FIG00814751: hypothetical protein	- none -	 	 
fig|1873.143.peg.2042	CDS	O3_1	2079997	2080548	1	+	552	Uncharacterized protein PA2301	- none -	 	 
fig|1873.143.peg.2043	CDS	O3_1	2081265	2080630	-3	-	636	2-hydroxychromene-2-carboxylate isomerase/DsbA-like thioredoxin domain	- none -	 	 
fig|1873.143.peg.2044	CDS	O3_1	2081714	2081286	-2	-	429	Sulfur acceptor protein => iron-sulfur cluster assembly SufE	- none -	 	 
fig|1873.143.peg.2045	CDS	O3_1	2082214	2081789	-1	-	426	Oxidoreductase	- none -	 	 
fig|1873.143.peg.2046	CDS	O3_1	2084038	2082272	-1	-	1767	Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type	tRNA aminoacylation, Pro	 	 
fig|1873.143.peg.2047	CDS	O3_1	2084099	2084458	2	+	360	hypothetical protein	- none -	 	 
fig|1873.143.peg.2048	CDS	O3_1	2084469	2084606	3	+	138	hypothetical protein	- none -	 	 
fig|1873.143.peg.2049	CDS	O3_1	2084591	2085121	2	+	531	Putative RNA polymerase sigma factor	- none -	 	 
fig|1873.143.peg.2050	CDS	O3_1	2085118	2086245	1	+	1128	hypothetical protein	- none -	 	 
fig|1873.143.peg.2051	CDS	O3_1	2086424	2087446	2	+	1023	hypothetical protein	- none -	 	 
fig|1873.143.peg.2052	CDS	O3_1	2087533	2088300	1	+	768	putative secreted protein	- none -	 	 
fig|1873.143.peg.2053	CDS	O3_1	2088303	2088749	3	+	447	hypothetical protein	- none -	 	 
fig|1873.143.peg.2054	CDS	O3_1	2088877	2089779	1	+	903	Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)	- none -	 	 
fig|1873.143.peg.2055	CDS	O3_1	2090424	2089846	-3	-	579	Transcriptional regulator, AcrR family	- none -	 	 
fig|1873.143.peg.2056	CDS	O3_1	2090532	2091677	3	+	1146	hypothetical protein	- none -	 	 
fig|1873.143.peg.2057	CDS	O3_1	2092890	2091664	-3	-	1227	hypothetical protein	- none -	 	 
fig|1873.143.peg.2058	CDS	O3_1	2092889	2093032	2	+	144	hypothetical protein	- none -	 	 
fig|1873.143.peg.2059	CDS	O3_1	2093075	2093674	2	+	600	Transcriptional regulator, AcrR family	- none -	 	 
fig|1873.143.peg.2060	CDS	O3_1	2093751	2095088	3	+	1338	Biotin carboxylase of methylcrotonyl-CoA carboxylase (EC 6.3.4.14)	HMG CoA Synthesis	 	 
fig|1873.143.peg.2061	CDS	O3_1	2095227	2096147	3	+	921	Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	HMG CoA Synthesis	 	 
fig|1873.143.peg.2062	CDS	O3_1	2096221	2097753	1	+	1533	Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)	HMG CoA Synthesis	 	 
fig|1873.143.peg.2063	CDS	O3_1	2097849	2099003	3	+	1155	Isovaleryl-CoA dehydrogenase (EC 1.3.8.4)	HMG CoA Synthesis	 	 
fig|1873.143.peg.2064	CDS	O3_1	2099137	2101830	1	+	2694	hypothetical protein	- none -	 	 
fig|1873.143.peg.2065	CDS	O3_1	2102605	2102084	-1	-	522	Transcriptional regulator, MarR family	- none -	 	 
fig|1873.143.peg.2066	CDS	O3_1	2102705	2103286	2	+	582	FIG00814808: hypothetical protein	- none -	 	 
fig|1873.143.peg.2067	CDS	O3_1	2103599	2105077	2	+	1479	hypothetical protein	- none -	 	 
fig|1873.143.peg.2068	CDS	O3_1	2106627	2105113	-3	-	1515	hypothetical protein	- none -	 	 
fig|1873.143.peg.2069	CDS	O3_1	2106794	2107489	2	+	696	FIG00814779: hypothetical protein	- none -	 	 
fig|1873.143.peg.2070	CDS	O3_1	2107648	2108499	1	+	852	hypothetical protein	- none -	 	 
fig|1873.143.peg.2071	CDS	O3_1	2108941	2108507	-1	-	435	hypothetical protein	- none -	 	 
fig|1873.143.peg.2072	CDS	O3_1	2109330	2109046	-3	-	285	hypothetical protein	- none -	 	 
fig|1873.143.peg.2073	CDS	O3_1	2110054	2110935	1	+	882	Uncharacterized protein with N-terminal Xre-type DNA-binding domain	- none -	 	 
fig|1873.143.peg.2074	CDS	O3_1	2110899	2111126	3	+	228	Small DUF397-containing protein	- none -	 	 
fig|1873.143.peg.2075	CDS	O3_1	2111329	2111730	1	+	402	hypothetical protein	- none -	 	 
fig|1873.143.peg.2076	CDS	O3_1	2112297	2111698	-3	-	600	hypothetical protein	- none -	 	 
fig|1873.143.peg.2077	CDS	O3_1	2112514	2114037	1	+	1524	Alkaline serine exoprotease A precursor (EC 3.4.21.-)	- none -	 	 
fig|1873.143.peg.2078	CDS	O3_1	2114909	2114103	-2	-	807	glycosyl transferase, WecB/TagA/CpsF family	- none -	 	 
fig|1873.143.peg.2079	CDS	O3_1	2115979	2114906	-1	-	1074	CDP-tyvelose epimerase (EC 5.1.3.-) (EC 4.2.1.46)	- none -	 	 
fig|1873.143.peg.2080	CDS	O3_1	2116379	2117167	2	+	789	FIG00824290: FHA domain protein	- none -	 	 
fig|1873.143.peg.2081	CDS	O3_1	2117174	2117659	2	+	486	FHA-domain-containing protein	- none -	 	 
fig|1873.143.peg.2082	CDS	O3_1	2117656	2119125	1	+	1470	Serine/threonine phosphatase PPP (EC 3.1.3.16)	- none -	 	 
fig|1873.143.peg.2083	CDS	O3_1	2119157	2120647	2	+	1491	FtsW-like cell division membrane protein CA_C0505	- none -	 	 
fig|1873.143.peg.2084	CDS	O3_1	2120644	2122149	1	+	1506	FtsI-like cell elongation transpeptidase	- none -	 	 
fig|1873.143.peg.2085	CDS	O3_1	2122151	2123560	2	+	1410	Serine/threonine-protein kinase PknA (EC 2.7.11.1)	- none -	 	 
fig|1873.143.peg.2086	CDS	O3_1	2123557	2125353	1	+	1797	Serine/threonine-protein kinase PknB (EC 2.7.11.1)	- none -	 	 
fig|1873.143.peg.2087	CDS	O3_1	2126080	2125430	-1	-	651	Anthranilate synthase, amidotransferase component (EC 4.1.3.27) @ Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.; <br>Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.; <br>Folate Biosynthesis; <br>Tryptophan synthesis; <br>Tryptophan synthesis	 	 
fig|1873.143.peg.2088	CDS	O3_1	2126367	2126083	-3	-	285	Uncharacterized membrane protein SCO3852	- none -	 	 
fig|1873.143.peg.2089	CDS	O3_1	2127214	2126372	-1	-	843	putative membrane protein	- none -	 	 
fig|1873.143.peg.2090	CDS	O3_1	2127195	2127680	3	+	486	hypothetical protein	- none -	 	 
fig|1873.143.peg.2091	CDS	O3_1	2128639	2127836	-1	-	804	FIG215594: Membrane spanning protein	- none -	 	 
fig|1873.143.peg.2092	CDS	O3_1	2128867	2129130	1	+	264	FIG018426: putative septation inhibitor protein	- none -	 	 
fig|1873.143.peg.2093	CDS	O3_1	2129446	2129258	-1	-	189	hypothetical protein	- none -	 	 
fig|1873.143.peg.2094	CDS	O3_1	2129424	2131622	3	+	2199	Fe-S oxidoreductase	- none -	 	 
fig|1873.143.peg.2095	CDS	O3_1	2131750	2133129	1	+	1380	UPF0053 protein Rv1842c/MT1890	- none -	 	 
fig|1873.143.peg.2096	CDS	O3_1	2133122	2134123	2	+	1002	Uncharacterized protein Rv1841c/MT1889	- none -	 	 
fig|1873.143.peg.2097	CDS	O3_1	2134297	2135304	1	+	1008	putative secreted protein	- none -	 	 
fig|1873.143.peg.2098	CDS	O3_1	2137382	2135361	-2	-	2022	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	Murein Hydrolases; <br>Recycling of Peptidoglycan Amino Acids	 	 
fig|1873.143.peg.2099	CDS	O3_1	2137696	2137568	-1	-	129	hypothetical protein	- none -	 	 
fig|1873.143.peg.2100	CDS	O3_1	2137759	2138799	1	+	1041	putative secreted protein	- none -	 	 
fig|1873.143.peg.2101	CDS	O3_1	2139458	2138880	-2	-	579	Deoxycytidine triphosphate deaminase (EC 3.5.4.30) (dUMP-forming)	pyrimidine conversions	 	 
fig|1873.143.peg.2102	CDS	O3_1	2139535	2140092	1	+	558	hypothetical protein	- none -	 	 
fig|1873.143.peg.2103	CDS	O3_1	2140294	2140169	-1	-	126	Gll1663 protein	- none -	 	 
fig|1873.143.peg.2104	CDS	O3_1	2140285	2141868	1	+	1584	hypothetical protein	- none -	 	 
fig|1873.143.peg.2105	CDS	O3_1	2142515	2141898	-2	-	618	Gll1663 protein	- none -	 	 
fig|1873.143.peg.2106	CDS	O3_1	2143062	2142892	-3	-	171	Integrase	- none -	 	 
fig|1873.143.peg.2107	CDS	O3_1	2143122	2143268	3	+	147	hypothetical protein	- none -	 	 
fig|1873.143.peg.2108	CDS	O3_1	2143463	2143981	2	+	519	RNA polymerase sigma-54 factor RpoN	Transcription initiation, bacterial sigma factors	 	 
fig|1873.143.peg.2109	CDS	O3_1	2143999	2145273	1	+	1275	hypothetical protein	- none -	 	 
fig|1873.143.peg.2110	CDS	O3_1	2145927	2146472	3	+	546	putative RNA polymerase sigma factor	- none -	 	 
fig|1873.143.peg.2111	CDS	O3_1	2146474	2147559	1	+	1086	hypothetical protein	- none -	 	 
fig|1873.143.peg.2112	CDS	O3_1	2148359	2147655	-2	-	705	Dihydrofolate reductase (EC 1.5.1.3)	5-FCL-like protein; <br>Folate Biosynthesis	 	 
fig|1873.143.peg.2113	CDS	O3_1	2148907	2148482	-1	-	426	hypothetical protein	- none -	 	 
fig|1873.143.peg.2114	CDS	O3_1	2149367	2148909	-2	-	459	hypothetical protein	- none -	 	 
fig|1873.143.peg.2115	CDS	O3_1	2149644	2149375	-3	-	270	hypothetical protein	- none -	 	 
fig|1873.143.peg.2116	CDS	O3_1	2149710	2150588	3	+	879	Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases	- none -	 	 
fig|1873.143.peg.2117	CDS	O3_1	2151060	2150629	-3	-	432	protein of unknown function DUF984	- none -	 	 
fig|1873.143.peg.2118	CDS	O3_1	2152207	2151143	-1	-	1065	hypothetical protein	- none -	 	 
fig|1873.143.peg.2119	CDS	O3_1	2152792	2152241	-1	-	552	Adenine phosphoribosyltransferase-like protein	- none -	 	 
fig|1873.143.peg.2120	CDS	O3_1	2152981	2153613	1	+	633	Rare lipoprotein A	- none -	 	 
fig|1873.143.peg.2121	CDS	O3_1	2153715	2154842	3	+	1128	Stage II sporulation protein E-like	- none -	 	 
fig|1873.143.peg.2122	CDS	O3_1	2154992	2156848	2	+	1857	Acyl-CoA dehydrogenase	- none -	 	 
fig|1873.143.peg.2123	CDS	O3_1	2157071	2157340	2	+	270	hypothetical protein	- none -	 	 
fig|1873.143.peg.2124	CDS	O3_1	2157919	2157383	-1	-	537	Phosphohistidine phosphatase SixA	- none -	 	 
fig|1873.143.peg.2125	CDS	O3_1	2158032	2158319	3	+	288	FIG00815311: hypothetical protein	- none -	 	 
fig|1873.143.peg.2126	CDS	O3_1	2159079	2158402	-3	-	678	FIG01964566: Predicted membrane protein, hemolysin III homolog	- none -	 	 
fig|1873.143.peg.2127	CDS	O3_1	2159187	2159849	3	+	663	Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54)	EC699-706	 	 
fig|1873.143.peg.2128	CDS	O3_1	2159846	2160703	2	+	858	Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54)	EC699-706	 	 
fig|1873.143.peg.2129	CDS	O3_1	2160687	2161436	3	+	750	Lactam utilization protein LamB	EC699-706	 	 
fig|1873.143.peg.2130	CDS	O3_1	2163323	2161491	-2	-	1833	alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen	- none -	 	 
fig|1873.143.peg.2131	CDS	O3_1	2164232	2163492	-2	-	741	putative secreted protein	- none -	 	 
fig|1873.143.peg.2132	CDS	O3_1	2164361	2164870	2	+	510	Rrf2 family transcriptional regulator	Rrf2 family transcriptional regulators	 	 
fig|1873.143.peg.2133	CDS	O3_1	2167351	2165051	-1	-	2301	Basic proline-rich protein precursor	- none -	 	 
fig|1873.143.peg.2134	CDS	O3_1	2167354	2167992	1	+	639	hypothetical protein	- none -	 	 
fig|1873.143.peg.2135	CDS	O3_1	2168310	2168173	-3	-	138	hypothetical protein	- none -	 	 
fig|1873.143.peg.2136	CDS	O3_1	2170038	2168530	-3	-	1509	Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	Dehydrogenase complexes; <br>Isoleucine degradation; <br>Valine degradation	 	 
fig|1873.143.peg.2137	CDS	O3_1	2171033	2170044	-2	-	990	Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)	Dehydrogenase complexes; <br>Isoleucine degradation; <br>Valine degradation	 	 
fig|1873.143.peg.2138	CDS	O3_1	2172208	2171033	-1	-	1176	Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)	Dehydrogenase complexes; <br>Isoleucine degradation; <br>Valine degradation	 	 
fig|1873.143.peg.2139	CDS	O3_1	2172734	2173486	2	+	753	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	- none -	 	 
fig|1873.143.peg.2140	CDS	O3_1	2173559	2174182	2	+	624	hypothetical protein	- none -	 	 
fig|1873.143.peg.2141	CDS	O3_1	2175417	2174194	-3	-	1224	FIG01042617: hypothetical protein	- none -	 	 
fig|1873.143.peg.2142	CDS	O3_1	2177161	2175476	-1	-	1686	P-loop GTPase domain-containing protein Sros_8870	- none -	 	 
fig|1873.143.peg.2143	CDS	O3_1	2179002	2177158	-3	-	1845	P-loop GTPase domain-containing protein Sros_8871	- none -	 	 
fig|1873.143.peg.2144	CDS	O3_1	2179224	2181083	3	+	1860	Chaperone protein DnaK	Protein chaperones	 	 
fig|1873.143.peg.2145	CDS	O3_1	2181131	2181886	2	+	756	Heat shock protein GrpE	Protein chaperones	 	 
fig|1873.143.peg.2146	CDS	O3_1	2181972	2183159	3	+	1188	Chaperone protein DnaJ	Protein chaperones	 	 
fig|1873.143.peg.2147	CDS	O3_1	2183188	2183628	1	+	441	HspR, transcriptional repressor of DnaK operon	Protein chaperones	 	 
fig|1873.143.peg.2148	CDS	O3_1	2183768	2183974	2	+	207	FIG00817301: hypothetical protein	- none -	 	 
fig|1873.143.peg.2149	CDS	O3_1	2184601	2184170	-1	-	432	hypothetical protein	- none -	 	 
fig|1873.143.peg.2150	CDS	O3_1	2186040	2184835	-3	-	1206	Putative transmembrane transport protein	- none -	 	 
fig|1873.143.peg.2151	CDS	O3_1	2186546	2186046	-2	-	501	TrkA, Potassium channel	- none -	 	 
fig|1873.143.peg.2152	CDS	O3_1	2186849	2186628	-2	-	222	hypothetical protein	- none -	 	 
fig|1873.143.peg.2153	CDS	O3_1	2187136	2187396	1	+	261	hypothetical protein	- none -	 	 
fig|1873.143.peg.2154	CDS	O3_1	2188629	2187493	-3	-	1137	Epoxide hydrolase (EC 3.3.2.9)	- none -	 	 
fig|1873.143.peg.2155	CDS	O3_1	2188714	2189367	1	+	654	Transcriptional regulator, AcrR family	- none -	 	 
fig|1873.143.peg.2156	CDS	O3_1	2189453	2192806	2	+	3354	Chaperone protein ClpB (ATP-dependent unfoldase)	- none -	 	 
fig|1873.143.peg.2157	CDS	O3_1	2192976	2193515	3	+	540	Orotate phosphoribosyltransferase (EC 2.4.2.10)	- none -	 	 
fig|1873.143.peg.2158	CDS	O3_1	2193573	2193950	3	+	378	Arsenical resistance operon repressor	- none -	 	 
fig|1873.143.peg.2159	CDS	O3_1	2194939	2194118	-1	-	822	DedA protein	DedA family of inner membrane proteins; <br>Uptake of selenate and selenite	 	 
fig|1873.143.peg.2160	CDS	O3_1	2196634	2195051	-1	-	1584	hypothetical protein	- none -	 	 
fig|1873.143.peg.2161	CDS	O3_1	2196815	2197300	2	+	486	hypothetical protein	- none -	 	 
fig|1873.143.peg.2162	CDS	O3_1	2197297	2198364	1	+	1068	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1	- none -	 	 
fig|1873.143.peg.2163	CDS	O3_1	2198606	2198394	-2	-	213	hypothetical protein	- none -	 	 
fig|1873.143.peg.2164	CDS	O3_1	2198729	2199112	2	+	384	putative membrane protein	- none -	 	 
fig|1873.143.peg.2165	CDS	O3_1	2199273	2200298	3	+	1026	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	Glycolysis and Gluconeogenesis	 	 
fig|1873.143.peg.2166	CDS	O3_1	2201637	2200357	-3	-	1281	FIG00816871: hypothetical protein	- none -	 	 
fig|1873.143.peg.2167	CDS	O3_1	2201805	2202233	3	+	429	hypothetical protein	- none -	 	 
fig|1873.143.peg.2168	CDS	O3_1	2203499	2202306	-2	-	1194	hypothetical protein	- none -	 	 
fig|1873.143.peg.2169	CDS	O3_1	2203533	2203754	3	+	222	hypothetical protein	- none -	 	 
fig|1873.143.peg.2170	CDS	O3_1	2204172	2204717	3	+	546	hypothetical protein	- none -	 	 
fig|1873.143.peg.2171	CDS	O3_1	2206134	2205019	-3	-	1116	hypothetical protein	- none -	 	 
fig|1873.143.peg.2172	CDS	O3_1	2206259	2207539	2	+	1281	Adenylosuccinate synthetase (EC 6.3.4.4)	Purine conversions	 	 
fig|1873.143.peg.2173	CDS	O3_1	2207616	2208545	3	+	930	hypothetical protein	- none -	 	 
fig|1873.143.peg.2174	CDS	O3_1	2208613	2209887	1	+	1275	Phosphoribosylamine--glycine ligase (EC 6.3.4.13)	De Novo Purine Biosynthesis	 	 
fig|1873.143.peg.2175	CDS	O3_1	2209948	2210469	1	+	522	RNA polymerase ECF sigma factor	- none -	 	 
fig|1873.143.peg.2176	CDS	O3_1	2210462	2211310	2	+	849	hypothetical protein	- none -	 	 
fig|1873.143.peg.2177	CDS	O3_1	2212881	2211319	-3	-	1563	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Biotin biosynthesis; <br>Fatty acid metabolism cluster	 	 
fig|1873.143.peg.2178	CDS	O3_1	2214304	2213090	-1	-	1215	Acyl-CoA dehydrogenase SCO1209, short-chain specific (EC 1.3.8.1)	- none -	 	 
fig|1873.143.peg.2179	CDS	O3_1	2214758	2214306	-2	-	453	SCP-2 sterol transfer family protein	- none -	 	 
